IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.18.3.242,4,1,0.75,140.96,0.00,N/A
104.19.68.191,4,1,0.75,141.19,0.00,N/A
104.19.81.142,4,1,0.75,141.51,0.00,N/A
172.65.232.122,4,1,0.75,141.63,0.00,N/A
104.16.37.79,4,1,0.75,141.68,0.00,N/A
104.19.94.80,4,1,0.75,142.11,0.00,N/A
104.16.164.160,4,1,0.75,142.31,0.00,N/A
162.159.237.135,4,1,0.75,142.41,0.00,N/A
104.18.137.87,4,1,0.75,142.55,0.00,N/A
104.18.223.123,4,1,0.75,142.56,0.00,N/A
104.16.145.34,4,1,0.75,142.61,0.00,N/A
104.19.183.57,4,1,0.75,142.78,0.00,N/A
162.159.199.11,4,1,0.75,142.98,0.00,N/A
104.19.185.200,4,1,0.75,142.99,0.00,N/A
104.19.105.245,4,1,0.75,143.34,0.00,N/A
104.19.88.58,4,1,0.75,143.94,0.00,N/A
104.17.171.112,4,1,0.75,144.09,0.00,N/A
104.18.197.191,4,1,0.75,145.23,0.00,N/A
104.17.191.207,4,1,0.75,145.39,0.00,N/A
104.16.170.166,4,1,0.75,146.34,0.00,N/A
104.16.237.161,4,1,0.75,146.47,0.00,N/A
104.19.71.93,4,1,0.75,148.00,0.00,N/A
104.18.49.209,4,1,0.75,148.14,0.00,N/A
104.18.31.199,4,1,0.75,148.33,0.00,N/A
172.64.40.58,4,1,0.75,148.40,0.00,N/A
104.18.114.116,4,1,0.75,148.52,0.00,N/A
104.19.99.194,4,1,0.75,149.01,0.00,N/A
104.18.69.2,4,1,0.75,149.51,0.00,N/A
104.16.144.59,4,1,0.75,149.57,0.00,N/A
104.18.57.180,4,1,0.75,150.88,0.00,N/A
104.18.79.117,4,1,0.75,151.72,0.00,N/A
104.16.241.103,4,1,0.75,151.79,0.00,N/A
104.18.135.110,4,1,0.75,152.03,0.00,N/A
104.16.84.90,4,1,0.75,152.05,0.00,N/A
162.159.245.50,4,1,0.75,152.21,0.00,N/A
172.65.246.132,4,1,0.75,152.74,0.00,N/A
104.19.38.173,4,1,0.75,152.75,0.00,N/A
104.19.115.56,4,1,0.75,152.94,0.00,N/A
104.16.152.13,4,1,0.75,153.08,0.00,N/A
104.19.194.30,4,1,0.75,153.26,0.00,N/A
104.18.138.175,4,1,0.75,153.36,0.00,N/A
104.17.150.35,4,1,0.75,153.79,0.00,N/A
104.16.156.21,4,1,0.75,153.96,0.00,N/A
104.17.52.106,4,1,0.75,154.00,0.00,N/A
162.159.212.60,4,1,0.75,154.19,0.00,N/A
